ID,Employees,Admins,Assets,Disclose,Ransomware
0,1.0,1.0,1.0,1.0,1.0
1,10.0,1.0,1.0,1.0,1.0
2,50.0,1.0,1.0,1.0,1.0
3,100.0,1.0,1.0,1.0,1.0
4,1000.0,1.0,1.0,1.0,1.0
5,5000.0,1.0,1.0,1.0,1.0
6,10000.0,1.0,1.0,1.0,1.0
7,1.0,10.0,1.0,1.0,1.0
8,10.0,10.0,1.0,1.0,1.0
9,50.0,10.0,1.0,1.0,1.0
10,100.0,10.0,1.0,1.0,1.0
11,1000.0,10.0,1.0,1.0,1.0
12,5000.0,10.0,1.0,1.0,1.0
13,10000.0,10.0,1.0,1.0,1.0
14,1.0,50.0,1.0,1.0,1.0
15,10.0,50.0,1.0,1.0,1.0
16,50.0,50.0,1.0,1.0,1.0
17,100.0,50.0,1.0,1.0,1.0
18,1000.0,50.0,1.0,1.0,1.0
19,5000.0,50.0,1.0,1.0,1.0
20,10000.0,50.0,1.0,1.0,1.0
21,1.0,100.0,1.0,1.0,1.0
22,10.0,100.0,1.0,1.0,1.0
23,50.0,100.0,1.0,1.0,1.0
24,100.0,100.0,1.0,1.0,1.0
25,1000.0,100.0,1.0,1.0,1.0
26,5000.0,100.0,1.0,1.0,1.0
27,10000.0,100.0,1.0,1.0,1.0
28,1.0,1000.0,1.0,1.0,1.0
29,10.0,1000.0,1.0,1.0,1.0
30,50.0,1000.0,1.0,1.0,1.0
31,100.0,1000.0,1.0,1.0,1.0
32,1000.0,1000.0,1.0,1.0,1.0
33,5000.0,1000.0,1.0,1.0,1.0
34,10000.0,1000.0,1.0,1.0,1.0
35,1.0,5000.0,1.0,1.0,1.0
36,10.0,5000.0,1.0,1.0,1.0
37,50.0,5000.0,1.0,1.0,1.0
38,100.0,5000.0,1.0,1.0,1.0
39,1000.0,5000.0,1.0,1.0,1.0
40,5000.0,5000.0,1.0,1.0,1.0
41,10000.0,5000.0,1.0,1.0,1.0
42,1.0,10000.0,1.0,1.0,1.0
43,10.0,10000.0,1.0,1.0,1.0
44,50.0,10000.0,1.0,1.0,1.0
45,100.0,10000.0,1.0,1.0,1.0
46,1000.0,10000.0,1.0,1.0,1.0
47,5000.0,10000.0,1.0,1.0,1.0
48,10000.0,10000.0,1.0,1.0,1.0
49,1.0,1.0,10.0,1.0,1.0
50,10.0,1.0,10.0,1.0,1.0
51,50.0,1.0,10.0,1.0,1.0
52,100.0,1.0,10.0,1.0,1.0
53,1000.0,1.0,10.0,1.0,1.0
54,5000.0,1.0,10.0,1.0,1.0
55,10000.0,1.0,10.0,1.0,1.0
56,1.0,10.0,10.0,1.0,1.0
57,10.0,10.0,10.0,1.0,1.0
58,50.0,10.0,10.0,1.0,1.0
59,100.0,10.0,10.0,1.0,1.0
60,1000.0,10.0,10.0,1.0,1.0
61,5000.0,10.0,10.0,1.0,1.0
62,10000.0,10.0,10.0,1.0,1.0
63,1.0,50.0,10.0,1.0,1.0
64,10.0,50.0,10.0,1.0,1.0
65,50.0,50.0,10.0,1.0,1.0
66,100.0,50.0,10.0,1.0,1.0
67,1000.0,50.0,10.0,1.0,1.0
68,5000.0,50.0,10.0,1.0,1.0
69,10000.0,50.0,10.0,1.0,1.0
70,1.0,100.0,10.0,1.0,1.0
71,10.0,100.0,10.0,1.0,1.0
72,50.0,100.0,10.0,1.0,1.0
73,100.0,100.0,10.0,1.0,1.0
74,1000.0,100.0,10.0,1.0,1.0
75,5000.0,100.0,10.0,1.0,1.0
76,10000.0,100.0,10.0,1.0,1.0
77,1.0,1000.0,10.0,1.0,1.0
78,10.0,1000.0,10.0,1.0,1.0
79,50.0,1000.0,10.0,1.0,1.0
80,100.0,1000.0,10.0,1.0,1.0
81,1000.0,1000.0,10.0,1.0,1.0
82,5000.0,1000.0,10.0,1.0,1.0
83,10000.0,1000.0,10.0,1.0,1.0
84,1.0,5000.0,10.0,1.0,1.0
85,10.0,5000.0,10.0,1.0,1.0
86,50.0,5000.0,10.0,1.0,1.0
87,100.0,5000.0,10.0,1.0,1.0
88,1000.0,5000.0,10.0,1.0,1.0
89,5000.0,5000.0,10.0,1.0,1.0
90,10000.0,5000.0,10.0,1.0,1.0
91,1.0,10000.0,10.0,1.0,1.0
92,10.0,10000.0,10.0,1.0,1.0
93,50.0,10000.0,10.0,1.0,1.0
94,100.0,10000.0,10.0,1.0,1.0
95,1000.0,10000.0,10.0,1.0,1.0
96,5000.0,10000.0,10.0,1.0,1.0
97,10000.0,10000.0,10.0,1.0,1.0
98,1.0,1.0,100.0,1.0,1.0
99,10.0,1.0,100.0,1.0,1.0
100,50.0,1.0,100.0,1.0,1.0
101,100.0,1.0,100.0,1.0,1.0
102,1000.0,1.0,100.0,1.0,1.0
103,5000.0,1.0,100.0,1.0,1.0
104,10000.0,1.0,100.0,1.0,1.0
105,1.0,10.0,100.0,1.0,1.0
106,10.0,10.0,100.0,1.0,1.0
107,50.0,10.0,100.0,1.0,1.0
108,100.0,10.0,100.0,1.0,1.0
109,1000.0,10.0,100.0,1.0,1.0
110,5000.0,10.0,100.0,1.0,1.0
111,10000.0,10.0,100.0,1.0,1.0
112,1.0,50.0,100.0,1.0,1.0
113,10.0,50.0,100.0,1.0,1.0
114,50.0,50.0,100.0,1.0,1.0
115,100.0,50.0,100.0,1.0,1.0
116,1000.0,50.0,100.0,1.0,1.0
117,5000.0,50.0,100.0,1.0,1.0
118,10000.0,50.0,100.0,1.0,1.0
119,1.0,100.0,100.0,1.0,1.0
120,10.0,100.0,100.0,1.0,1.0
121,50.0,100.0,100.0,1.0,1.0
122,100.0,100.0,100.0,1.0,1.0
123,1000.0,100.0,100.0,1.0,1.0
124,5000.0,100.0,100.0,1.0,1.0
125,10000.0,100.0,100.0,1.0,1.0
126,1.0,1000.0,100.0,1.0,1.0
127,10.0,1000.0,100.0,1.0,1.0
128,50.0,1000.0,100.0,1.0,1.0
129,100.0,1000.0,100.0,1.0,1.0
130,1000.0,1000.0,100.0,1.0,1.0
131,5000.0,1000.0,100.0,1.0,1.0
132,10000.0,1000.0,100.0,1.0,1.0
133,1.0,5000.0,100.0,1.0,1.0
134,10.0,5000.0,100.0,1.0,1.0
135,50.0,5000.0,100.0,1.0,1.0
136,100.0,5000.0,100.0,1.0,1.0
137,1000.0,5000.0,100.0,1.0,1.0
138,5000.0,5000.0,100.0,1.0,1.0
139,10000.0,5000.0,100.0,1.0,1.0
140,1.0,10000.0,100.0,1.0,1.0
141,10.0,10000.0,100.0,1.0,1.0
142,50.0,10000.0,100.0,1.0,1.0
143,100.0,10000.0,100.0,1.0,1.0
144,1000.0,10000.0,100.0,1.0,1.0
145,5000.0,10000.0,100.0,1.0,1.0
146,10000.0,10000.0,100.0,1.0,1.0
147,1.0,1.0,250.0,1.0,1.0
148,10.0,1.0,250.0,1.0,1.0
149,50.0,1.0,250.0,1.0,1.0
150,100.0,1.0,250.0,1.0,1.0
151,1000.0,1.0,250.0,1.0,1.0
152,5000.0,1.0,250.0,1.0,1.0
153,10000.0,1.0,250.0,1.0,1.0
154,1.0,10.0,250.0,1.0,1.0
155,10.0,10.0,250.0,1.0,1.0
156,50.0,10.0,250.0,1.0,1.0
157,100.0,10.0,250.0,1.0,1.0
158,1000.0,10.0,250.0,1.0,1.0
159,5000.0,10.0,250.0,1.0,1.0
160,10000.0,10.0,250.0,1.0,1.0
161,1.0,50.0,250.0,1.0,1.0
162,10.0,50.0,250.0,1.0,1.0
163,50.0,50.0,250.0,1.0,1.0
164,100.0,50.0,250.0,1.0,1.0
165,1000.0,50.0,250.0,1.0,1.0
166,5000.0,50.0,250.0,1.0,1.0
167,10000.0,50.0,250.0,1.0,1.0
168,1.0,100.0,250.0,1.0,1.0
169,10.0,100.0,250.0,1.0,1.0
170,50.0,100.0,250.0,1.0,1.0
171,100.0,100.0,250.0,1.0,1.0
172,1000.0,100.0,250.0,1.0,1.0
173,5000.0,100.0,250.0,1.0,1.0
174,10000.0,100.0,250.0,1.0,1.0
175,1.0,1000.0,250.0,1.0,1.0
176,10.0,1000.0,250.0,1.0,1.0
177,50.0,1000.0,250.0,1.0,1.0
178,100.0,1000.0,250.0,1.0,1.0
179,1000.0,1000.0,250.0,1.0,1.0
180,5000.0,1000.0,250.0,1.0,1.0
181,10000.0,1000.0,250.0,1.0,1.0
182,1.0,5000.0,250.0,1.0,1.0
183,10.0,5000.0,250.0,1.0,1.0
184,50.0,5000.0,250.0,1.0,1.0
185,100.0,5000.0,250.0,1.0,1.0
186,1000.0,5000.0,250.0,1.0,1.0
187,5000.0,5000.0,250.0,1.0,1.0
188,10000.0,5000.0,250.0,1.0,1.0
189,1.0,10000.0,250.0,1.0,1.0
190,10.0,10000.0,250.0,1.0,1.0
191,50.0,10000.0,250.0,1.0,1.0
192,100.0,10000.0,250.0,1.0,1.0
193,1000.0,10000.0,250.0,1.0,1.0
194,5000.0,10000.0,250.0,1.0,1.0
195,10000.0,10000.0,250.0,1.0,1.0
196,1.0,1.0,500.0,1.0,1.0
197,10.0,1.0,500.0,1.0,1.0
198,50.0,1.0,500.0,1.0,1.0
